name,region,website,address,phone
"Muravey, Torgovaya Set'",Архангельская область,muravei29.ru,"к, Окружное ш., 6 корпус 1, Архангельск, Архангельская обл., Русија, 163045",+7 818 265-79-56
Mir Snabzheniya,Архангельская область,ms29.ru,"Талажское ш., 1, Архангельск, Архангельская обл., Русија, 163045",+7 818 247-12-17
Стройбат,Архангельская область,stroybat29.ru,"ул. Смольный Буян, 23к1, Архангельск, Архангельская обл., Русија, 163002",+7 818 229-45-45
"Avangard, Stroitel'nyy Supermarket",Архангельская область,stroybat29.ru,"Болтинское ш., 8,корпус 3, Котлас, Архангельская обл., Русија, 165300",+7 818 372-74-70
"Ooo ""Sevstroytorg""",Архангельская область,sevstroytorg.com,"ул. Тимме, 23, Архангельск, Архангельская обл., Русија, 163071",+7 818 264-13-53
Bastion,Архангельская область,vk.com,"ул. 3-й микрорайон, 19, Североонежск, Архангельская обл., Русија, 164268",+7 962 660-54-09
"Novostroy, Ooo",Архангельская область,novostroy-29.ru,"Доковская ул., 6, корп. 2, Архангельск, Архангельская обл., Русија, 163038",+7 818 244-35-55
"Stroyka, Optovo-Roznichnyy Tsentr",Архангельская область,novostroy-29.ru,"Партизанская ул., 1 корпус 2, Плесецк, Архангельская обл., Русија, 164262",+7 818 327-43-13
"Ooo ""Russkiy Sever""",Архангельская область,novostroy-29.ru,"3-й пятилетки ул., 27, Новодвинск, Архангельская обл., Русија, 164901",+7 818 524-58-76
stro18,Архангельская область,stro18.ru,"просп. Ломоносова, 261, Архангельск, Архангельская обл., Русија, 163001",+7 963 546-41-93
ООО «СИТЕЛ»,Архангельская область,sytel29.ru,"улица Декабристов, д. 72, корп. 1, Новодвинск, Архангельская обл., Русија, 164901",+7 911 599-74-15
"ООО ""Севстройторг""",Архангельская область,sevstroytorg.com,"Окружное ш., д. 6, к. 1, Архангельск, Архангельская обл., Русија, 163045",+7 818 262-58-52
"Soyuz, Magazin Stroitel'nykh Tovarov",Архангельская область,sevstroytorg.com,"пр. Мира, 22, Котлас, Архангельская обл., Русија, 165300",+7 818 372-74-49
Stroy Mir,Архангельская область,малодвинье.рф,"ул. Пугачёва, 22, Котлас, Архангельская обл., Русија, 165305",+7 921 074-20-01
Snabzhenets,Архангельская область,малодвинье.рф,"Розы Шаниной ул., 4, Архангельск, Архангельская обл., Русија, 163000",+7 818 268-13-00
Stroybaza Molotok,Архангельская область,малодвинье.рф,"29, ул. Ленина, стр. 3, Архангельск, Архангельская обл., Русија, 163015",+7 818 268-13-00
"Stroymag, Magazin Stroitel'nykh Tovarov",Архангельская область,малодвинье.рф,"Болтинское ш., 8, корп. 1, Котлас, Архангельская обл., Русија, 165300",+7 818 372-74-34
Ekonom,Архангельская область,econom.su,"ТЦ ""Петровский"", ул. Русанова, 8, Архангельск, Архангельская обл., Русија, 163030",+7 911 564-72-52
Umelets,Архангельская область,econom.su,"ул. Попова, 46, Архангельск, Архангельская обл., Русија, 163046",+7 911 564-72-52
Magazin Palych,Архангельская область,econom.su,"Nyandoma, Arkhangelsk Oblast, Русија, 164200",+7 911 564-72-52
Perestroyka,Архангельская область,econom.su,"ТД ""Димитровский"", ул. Димитрова, 15, 1 этаж, Новодвинск, Архангельская обл., Русија, 164902",+7 953 931-87-13
"Muravey, Magazin Otdelochnykh Materialov",Архангельская область,econom.su,"ул. Розы Люксембург, 38, Архангельск, Архангельская обл., Русија, 163000",+7 818 268-26-18
"Строительный магазин ""МАСТЕР*ОК""",Архангельская область,grandline.ru,"Октябрьская ул., д.2, Плесецк, Архангельская обл., Русија, 164262",+7 921 249-90-01
Story House,Архангельская область,grandline.ru,"ТД ""Московский"", Московский пр., 25/2, Архангельск, Архангельская обл., Русија, 163002",+7 952 300-00-31
"Ooo ""Fantorg""",Архангельская область,vk.com,"пр. Ленина, 222 в, Онега, Архангельская обл., Русија, 164840",+7 818 397-28-70
Kompaniya Svs,Архангельская область,vk.com,"ул. Котласская, 1/1, 1 этаж, офис 17, Архангельск, Архангельская обл., Русија, 163046",+7 818 227-16-50
Drevmarket,Архангельская область,vk.com,"просп. Ломоносова, 64, Архангельск, Архангельская обл., Русија, 163000",+7 963 200-45-32
"Dachnaya Pokupka, Magazin Stroitel'nykh Materialov",Архангельская область,vk.com,"корп. 2, ул. Гагарина, 44, Архангельск, Архангельская обл., Русија, 163051",+7 818 243-21-40
Molotok,Архангельская область,vk.com,"Plesetsk, Arkhangelsk Oblast, Русија, 164262",+7 818 243-21-40
Remont3000,Архангельская область,ремонт3000.рф,"ул. Hабережная, 85, Емецк, Архангельская обл., Русија, 164537",+7 902 700-12-55
Dacha Stroyka Dom,Архангельская область,afanasy29.ru,"ул. Дачная, 59, Архангельск, Архангельская обл., Русија, 163062",+7 960 010-14-27
Magazin Stroymaterialov,Архангельская область,vk.com,"Lukinskaya, Arkhangelsk Oblast, Русија, 165150",+7 921 677-07-07
Khozmag,Архангельская область,vk.com,"ул. Суворова, 11, Архангельск, Архангельская обл., Русија, 163001",+7 921 677-07-07
"Torgovyy Tsentr Al'fa, Magazin, Ooo Al'fa",Архангельская область,vk.com,"Октябрьская ул., 1а, Савинский, Архангельская обл., Русија, 164288",+7 921 677-07-07
Khozyain,Архангельская область,vk.com,"Заводская ул., 3а, Октябрьский, Архангельская обл., Русија, 165210",+7 921 677-07-07
Tovary Dlya Remonta,Архангельская область,vk.com,"Магазин ""Муравей"", ул. Ворошилова, 16, Новодвинск, Архангельская обл., Русија, 164900",+7 818 525-68-88
Stroy Market,Архангельская область,vk.com,"Yarensk, Arkhangelsk Oblast, Русија, 165780",+7 911 581-60-01
Domovoy,Архангельская область,vk.com,"ул. Заводская, 43Б, Уемский, Архангельская обл., Русија, 163075",+7 953 936-36-21
Malodvin'ye,Архангельская область,малодвинье.рф,"ул. Чиркова, 5/1, Котлас, Архангельская обл., Русија, 165300",+7 818 372-56-97
"Magazin ""Domovoy""",Архангельская область,vk.com,"ул. Чиркова, д.29, Котлас, Архангельская обл., Русија, 165300",+7 921 482-65-31
Kosmodom,Архангельская область,mks29.ru,"ул. Касаткиной, 13к1, Архангельск, Архангельская обл., Русија, 163002",+7 818 266-47-77
Krepmaster,Архангельская область,krepmarket.ru,"ТК ""На Окружной"", Окружное ш., 13, 2 корпус, Архангельск, Архангельская обл., Русија, 163045",+7 818 242-14-28
Stroybat,Архангельская область,stroybat29.ru,"ул. Шубина, 2, Архангельск, Архангельская обл., Русија, 163001",+7 818 229-45-45
"Хозторг, Магазин № 4",Архангельская область,stroybat29.ru,"ул. Розы Люксембург, 78, Архангельск, Архангельская обл., Русија, 163046",+7 818 220-38-19
"Stroymaterialy, Magazin",Архангельская область,stroybat29.ru,"ул. Пушкина, 100, Вельск, Архангельская обл., Русија, 165150",+7 818 362-63-83
Magazin Stroymarket,Архангельская область,stroybat29.ru,"Plesetsk, Arkhangelsk Oblast, Русија, 164262",+7 818 362-63-83
"Umelyye Ruki, Magazin Stroitel'nykh I Otdelochnykh Materialov",Архангельская область,stroybat29.ru,"ул. Советская, 21, Архангельск, Архангельская обл., Русија, 163020",+7 818 222-68-48
Magazin Megavol't,Архангельская область,mv29.ru,"ул. Ломоносова, 17, Мирный, Архангельская обл., Русија, 164170",+7 965 732-56-54
Khozstroy,Архангельская область,mv29.ru,"Магистральная ул., 43, Архангельск, Архангельская обл., Русија, 163039",+7 818 243-00-65
Ooo Megavol't,Архангельская область,mv29.ru,"ул. Ленина, 76б, Плесецк, Архангельская обл., Русија, 164262",+7 960 006-54-30
Household chemicals,Архангельская область,mv29.ru,"Магистральная ул., 40, Архангельск, Архангельская обл., Русија, 163039",+7 921 076-41-76
Krepmarket,Архангельская область,krepmarket.ru,"просп. Никольский, 56с2, Архангельск, Архангельская обл., Русија, 163020",+7 818 247-15-80
Prof Krep,Архангельская область,krepmarket.ru,"ул. Никитова, 10, Архангельск, Архангельская обл., Русија, 163057",+7 911 568-93-30
"Samodelkin, Magazin Otdelochnykh I Stroitel'nykh Materialov",Архангельская область,krepmarket.ru,"ул. Ярославская ул., 65, Архангельск, Архангельская обл., Русија, 163013",+7 964 302-85-99
Venas,Архангельская область,venus-online.ru,"пр. Заозерный, 4, Северодвинск, Архангельская обл., Русија, 164505",+7 818 452-06-60
Remont 3000,Архангельская область,ремонт3000.рф,"пр. Ленина, 205Г, Онега, Архангельская обл., Русија, 164840",+7 902 700-99-40
Kosmos,Архангельская область,venus-online.ru,"ул. Ломоносова, 68, Северодвинск, Архангельская обл., Русија, 164500",+7 818 458-37-44
Megastroy,Архангельская область,venus-online.ru,"Набережная, 8 а, Березник, Архангельская обл., Русија, 164571",+7 921 297-51-26
Krepezh,Архангельская область,venus-online.ru,"ул. Тимме, 23, Архангельск, Архангельская обл., Русија, 163071",+7 921 297-51-26
"Stroymaterialy ""Komplekt""",Архангельская область,vk.com,"Октябрьский просп., 101, Каргополь, Архангельская обл., Русија, 164110",+7 921 671-17-10
Khoztovary,Архангельская область,vk.com,"ул. Тимме, 12, Архангельск, Архангельская обл., Русија, 163051",+7 931 401-25-88
Master Krepezha,Архангельская область,vk.com,"Ленинградский пр-т., 159, Архангельск, Архангельская обл., Русија, 163015",+7 818 247-03-80
Riforn,Архангельская область,vk.com,"Архангельское ш., д. 29, корп. 1, Северодвинск, Архангельская обл., Русија, 164520",+7 343 288-74-48
"Stroymag, Magazin Stroitel'nykh Materialov",Архангельская область,vk.com,"Никольская ул., 11, Северодвинск, Архангельская обл., Русија, 164512",+7 343 288-74-48
Hilti Строительный Салон,Архангельская область,hilti.ru,"просп. Ломоносова, 13, Офис 16, Архангельск, Архангельская обл., Русија, 163002",+7 818 265-00-56
Rosa,Архангельская область,hilti.ru,"ул. 40-летия Великой Победы, 1, 2 этаж, Архангельск, Архангельская обл., Русија, 163059",+7 818 265-00-56
Dammers,Архангельская область,dammers-les.narod.ru,"ул. Ленина, 29, Архангельск, Архангельская обл., Русија, 163015",+7 818 267-06-07
Al'ternativa Nord Stroybatmarket,Архангельская область,altnord.ru,"ул. Торцева, 2в, стр.1, Северодвинск, Архангельская обл., Русија, 164520",+7 818 456-77-96
"Magazin Stroymaterialov ""Stroyberi""",Архангельская область,altnord.ru,"пр. Ленина, 220, Онега, Архангельская, Русија, 164840",+7 900 920-41-51
Magazin Tovary Dlya Doma,Архангельская область,altnord.ru,"Emetsk, Arkhangelsk Oblast, Русија, 164537",+7 900 920-41-51
Stroydom29,Архангельская область,altnord.ru,"ул. Заводская, 8, Северодвинск, Архангельская обл., Русија, 164505",+7 921 084-80-04
Bum,Архангельская область,altnord.ru,"ул. Гагарина, 46, Архангельск, Архангельская обл., Русија, 163051",+7 818 221-37-50
Motobloki,Архангельская область,altnord.ru,"ул. Карла Маркса, 22, Архангельск, Архангельская обл., Русија, 163000",+7 818 220-83-83
"Stroymarket ""Rimeyk""",Архангельская область,altnord.ru,"ул. Дзержинского, Мирный, Архангельская обл., Русија, 164173",+7 931 417-24-34
Fabrika Okon I Dverey,Архангельская область,vk.com,"Заводская ул., 2, Октябрьский, Архангельская обл., Русија, 165210",+7 921 297-97-99
Domostroy,Архангельская область,домострой29.рф,"Железнодорожная 54а оф.5 2 этаж, Северодвинск, Архангельская обл., Русија, 164520",+7 911 563-43-75
Fastening tools,Архангельская область,крепеж29.рф,"ул. Урицкого, 28, 1 этаж, Архангельск, Архангельская обл., Русија, 163002",+7 818 268-22-73
Yevroprofil',Архангельская область,europrofil29.ru,"Архангельское ш., 16д, Северодвинск, Архангельская обл., Русија, 164520",+7 931 405-70-80
"Torgovyy Tsentr ""Metr""",Архангельская область,europrofil29.ru,"ул. Котрехова, 14 А, Плесецк, Архангельская обл., Русија, 164262",+7 950 661-13-77
"Fire, water and different pipe ...",Архангельская область,stroidom-online.ru,"ул. Поморская, 44, Архангельск, Архангельская обл., Русија, 163000",+7 818 247-93-00
Losk,Архангельская область,stroidom-online.ru,"пр. Победы, 10, 1 этаж, Северодвинск, Архангельская обл., Русија, 164500",+7 818 247-93-00
Umelyy Dachnik,Архангельская область,умелый-дачник.рф,"ул. Горького, 72 Б, Няндома, Архангельская обл., Русија, 164200",+7 952 307-44-44
Mega Ctroy,Архангельская область,vk.com,"Октябрьская ул., Плесецк, Архангельская обл., Русија, 164262",+7 921 483-70-95
Lyubimyy,Архангельская область,vk.com,"ул. Мещерского, 5, Архангельск, Архангельская обл., Русија, 163000",+7 911 674-53-12
Element,Республика Карелия,kondopoga.elementsm.ru,"ул. Максима Горького, 1, Кондопога, Респ. Карелия, Русија, 186225",+7 921 804-57-85
WoodStore Karelia,Республика Карелия,kondopoga.elementsm.ru,"Шуйское ш., д. 12, Петрозаводск, Респ. Карелия, Русија, 185013",+7 911 400-95-58
Tsentr Uyuta Magazin,Республика Карелия,kondopoga.elementsm.ru,"Мурманская ул., 19, Петрозаводск, Респ. Карелия, Русија, 185005",+7 814 259-30-41
Magazin Stroitel'nykh Materialov,Республика Карелия,kondopoga.elementsm.ru,"ул. Ригачина, Петрозаводск, Респ. Карелия, Русија, 185005",+7 814 259-30-41
"Stroymarket ""Papa Doma""",Республика Карелия,papadoma.net,"ул. Бондарева, 50 А, Сортавала, Респ. Карелия, Русија, 186790",+7 814 304-88-16
Magazin Stroymaterialy Ooo Stroykom,Республика Карелия,vk.com,"ул. 8 Марта, дом 9, Сегежа, Респ. Карелия, Русија, 186424",+7 814 317-00-05
Magazin Profil'drev,Республика Карелия,profildrev.ru,"Вытегорское ш., 110, Петрозаводск, Респ. Карелия, Русија, 185034",+7 814 222-10-32
Kgrk,Республика Карелия,profildrev.ru,"ул. Ватутина, 30, Петрозаводск, Респ. Карелия, Русија, 185000",+7 814 222-10-32
"Rus' Biznes, Khozyaystvennyy Magazin",Республика Карелия,profildrev.ru,"Октябрьский пр., 1, Петрозаводск, Респ. Карелия, Русија, 185000",+7 814 270-23-43
"Ladoga-Stroy, Magazin Stroitel'nykh Tovarov",Республика Карелия,profildrev.ru,"ул. Карельская, 42, Сортавала, Респ. Карелия, Русија, 186790",+7 814 302-38-63
Robinzon-1,Республика Карелия,pozern.ru,"ул. Советская, 18, Лахденпохья, Респ. Карелия, Русија, 186734",+7 800 550-51-25
Stroydom Mamont,Республика Карелия,pozern.ru,"Медвежьегорское шоссе, 1, Кондопога, Респ. Карелия, Русија, 186200",+7 814 515-72-11
Stroitel'nyy Dvor,Республика Карелия,ptz-stroy.ru,"ул. Заводская, 10а, Петрозаводск, Респ. Карелия, Русија, 185031",+7 911 403-86-99
Magazin Universalstroy,Республика Карелия,ptz-stroy.ru,"Эссойла, 186137улица Центральная, дом 8а, поселок, Респ. Карелия, Русија, 186137",+7 814 563-30-04
U Yerofeyeva,Республика Карелия,ptz-stroy.ru,"ул. Строителей, 1А, Костомукша, Респ. Карелия, Русија, 186932",+7 814 563-30-04
"Stroitel'nyy Dom, Magazin",Республика Карелия,ptz-stroy.ru,"ул. Бондарева, 4, Сортавала, Респ. Карелия, Русија, 186790",+7 921 458-61-14
Stroybaza Katkov,Республика Карелия,ptz-stroy.ru,"ул. Онежская, 2, Медвежьегорск, Респ. Карелия, Русија, 186352",+7 814 345-75-75
"Shop ""STROYDOM""",Республика Карелия,ptz-stroy.ru,"3, Пудож, Карелия респ., 186150, улица Комсомольская, Пудож, Респ. Карелия, Русија, 186150",+7 814 525-10-25
Profil',Республика Карелия,ptz-stroy.ru,"Ригачина ул. 64, Петрозаводск, Карелия респ., 185005, Петрозаводск, Респ. Карелия, Русија, 185005",+7 814 273-32-80
"Ooo""Stroyarsenal"", Magazin Stroitel'nykh Materialov",Республика Карелия,ptz-stroy.ru,"Хвойный пер., 5, Петрозаводск, Респ. Карелия, Русија, 185002",+7 814 259-20-14
#NAME?,Республика Карелия,ptz-stroy.ru,"ул. Полевая, 34, Олонец, Респ. Карелия, Русија, 186000",+7 814 364-18-17
Formula Construction,Республика Карелия,str-formula.ru,"ул. Ригачина, 33, Петрозаводск, Респ. Карелия, Русија, 185005",+7 814 222-02-30
Stroyelitservis,Республика Карелия,str-formula.ru,"К.Либкнехта ул. 16, Медвежьегорск, Карелия респ., 186350, Медвежьегорск, Респ. Карелия, Русија, 186350",+7 911 400-21-19
Stroitel'nyy Magazin Profil',Республика Карелия,str-formula.ru,"ул. Привокзальная, 19А, Питкяранта, Респ. Карелия, Русија, 186810",+7 911 400-21-19
"Usad'ba, Khozyaystvennyy Magazin",Республика Карелия,str-formula.ru,"ул. Заводская, 26, Петрозаводск, Респ. Карелия, Русија, 185035",+7 814 270-31-21
Maksidom,Республика Карелия,str-formula.ru,"ул. Шотмана, 30, Петрозаводск, Респ. Карелия, Русија, 185001",+7 814 270-31-21
"Магазин ""Delta""",Республика Карелия,str-formula.ru,"ул. Калинина, 9А, Питкяранта, Респ. Карелия, Русија, 186810",+7 921 451-45-45
"Construction hypermarket ""CSK""",Республика Карелия,c-s-k.ru,"ул. Заводская, 4, Петрозаводск, Респ. Карелия, Русија, 185031",+7 814 279-80-15
Stroymaterialy Magazin-Sklad,Республика Карелия,c-s-k.ru,"Санаторная ул. 1, Медвежьегорск, Карелия респ., 186352, Медвежьегорск, Респ. Карелия, Русија, 186350",+7 814 345-70-22
Building Market principle,Республика Карелия,c-s-k.ru,"Kostomuksha, Republic of Karelia, Русија, 186932",+7 921 468-77-72
"Magazin ""Stroymaster""",Республика Карелия,belomorskayapmk.ru,"улица Порт шоссе 25, Беломорск, Респ. Карелия, Русија, 186500",+7 814 375-28-35
"Ooo ""Ksk "", Stroitel'nyye Materialy . Krovlya I Izolyatsiya .",Республика Карелия,kskstroi.ru,"ул. Заводская, 10, Петрозаводск, Респ. Карелия, Русија, 185031",+7 814 259-44-02
"Stroy-ka, Shop",Республика Карелия,vk.com,"ул. Володарского, 12, Олонец, Респ. Карелия, Русија, 186000",+7 814 364-25-76
"ДОМ-ДЕКОР, магазин строительных товаров",Республика Карелия,segeja.mestarf.su,"ул. Гагарина, 3, пом. Н-1, Сегежа, Респ. Карелия, Русија, 186420",+7 814 364-25-76
Uncle Fedor,Республика Карелия,segeja.mestarf.su,"Свирская ул., 10, Петрозаводск, Респ. Карелия, Русија, 185005",+7 814 273-16-54
Armir,Республика Карелия,армир.рф,"ул. Дзержинского, 11, Медвежьегорск, Респ. Карелия, Русија, 186350",+7 800 350-30-76
Stroykrovlya,Республика Карелия,eurocement.ru,"Комсомольская 39, Олонец, Респ. Карелия, Русија, 186000",+7 900 461-51-71
Tssk,Республика Карелия,c-s-k.ru,"ул. Правды, 4, Петрозаводск, Респ. Карелия, Русија, 185005",+7 814 279-80-10
Stroygrad,Республика Карелия,c-s-k.ru,"Сулажгорская ул., 61, Петрозаводск, Респ. Карелия, Русија, 185013",+7 814 277-54-77
Profstroy,Республика Карелия,c-s-k.ru,"Хвойный пер., 5, Петрозаводск, Респ. Карелия, Русија, 185000",+7 921 700-35-12
Tekhnokompleks,Республика Карелия,c-s-k.ru,"ул. Гоголя, 21, Петрозаводск, Респ. Карелия, Русија, 185035",+7 814 227-23-26
"Magazin ""Na Bazarnoy"" Ooo ""Domostroy""",Республика Карелия,vk.com,"Базарная ул., д.1, Сортавала, Респ. Карелия, Русија, 186790",+7 814 304-66-63
"Voskhod, Baza Stroitel'nykh Materialov",Республика Карелия,vk.com,"ул. Машезерская, 7, кв. 36, Петрозаводск, Респ. Карелия, Русија, 185003",+7 814 257-67-79
Stroybaza Salmi,Республика Карелия,vk.com,"ул. Лесная, 13Б, Салми, Респ. Карелия, Русија, 186821",+7 921 308-18-82
Krepozh,Республика Карелия,vk.com,"ул. Карельская, 7, Сортавала, Респ. Карелия, Русија, 186790",+7 921 308-18-82
Magazin Dom-Stroy,Республика Карелия,vk.com,"Unnamed Road, Беломорск, Респ. Карелия, Русија, 186500",+7 921 308-18-82
Krovel'nyy Tsentr,Республика Карелия,кровля-карелия.рф,"386км Р21 ""Кола, Пряжа, Респ. Карелия, Русија, 186120",+7 921 456-66-00
Building yard,Республика Карелия,ptz-stroy.ru,"Шуйское ш., 12, Петрозаводск, Респ. Карелия, Русија, 185000",+7 814 228-06-99
"Domovoy, Khozyaystvennyy Magazin",Республика Карелия,tddomovoy.ru,"Лососинское ш., 21, Петрозаводск, Респ. Карелия, Русија, 185014",+7 814 275-34-47
"Stroymateriyaly ""Master""",Республика Карелия,tddomovoy.ru,"Октябрьское ш., 33а, Кондопога, Респ. Карелия, Русија, 186225",+7 814 275-34-47
"Som, Magazin Otdelochnykh Materialov",Республика Карелия,com-karelia.ru,"Лососинское ш., 26, Петрозаводск, Респ. Карелия, Русија, 185014",+7 921 012-75-93
Строительный магазин Элемент,Республика Карелия,elementsm.ru,"Онежской Флотилии ул. 22, Петрозаводск, Карелия респ., 185000, ул. Онежской флотилии, 22, Петрозаводск, Респ. Карелия, Русија, 185034",+7 921 804-57-81
Istok,Республика Карелия,elementsm.ru,"ул. Зайцева, 38, Петрозаводск, Респ. Карелия, Русија, 185031",+7 814 277-13-98
"Ooo ""Progress""",Республика Карелия,elementsm.ru,"ул. Пограничная, 22, Петрозаводск, Респ. Карелия, Русија, 185000",+7 814 233-06-50
M-N Kontur,Республика Карелия,elementsm.ru,"ул. Октябрьская, 12, Костомукша, Респ. Карелия, Русија, 186931",+7 995 554-74-18
Stroyfurnitura,Республика Карелия,vk.com,"ул. Московская, 20, Петрозаводск, Респ. Карелия, Русија, 185031",+7 814 263-63-63
Kondopozhskiy Shungitovyy Zavod,Республика Карелия,vk.com,"Медвежьегорское ш., 5, Кондопога, Респ. Карелия, Русија, 186200",+7 814 514-30-07
Supplies Shop LLC Remstroykonstruktsiya,Республика Карелия,vk.com,"Louhi, Карелија, Русија, 186660",+7 921 221-92-83
"""Yevrostroy """,Республика Карелия,m.vk.com,"пр. Калинина, 9А, Кондопога, Респ. Карелия, Русија, 186220",+7 900 463-36-46
Instrument Krepezh,Республика Карелия,m.vk.com,"ул. Заводская, Петрозаводск, Респ. Карелия, Русија, 185031",+7 900 463-36-46
«Сантехника»,Республика Карелия,m.vk.com,"ул. Заводская, 17, Кондопога, Респ. Карелия, Русија, 186225",+7 900 463-36-46
"Magazin ""Krepezh""",Республика Карелия,m.vk.com,"Shuya, Republic of Karelia, Русија, 185504",+7 911 401-12-61
shop Home,Республика Карелия,m.vk.com,"пл. Кирова, 4, Сортавала, Респ. Карелия, Русија, 186790",+7 921 455-55-52
Stroy-Market Pelageya,Республика Карелия,m.vk.com,"ул. Гвардейская, 20, Петрозаводск, Респ. Карелия, Русија, 185034",+7 814 252-63-30
"Miko, Magazin",Республика Карелия,business.google.com,"ул. Комсомольская, 3, Кондопога, Респ. Карелия, Русија, 186222",+7 814 517-74-70
"Ooo ""Inter'yer""",Республика Карелия,business.google.com,"ул. Коммунистов, 50/8, Петрозаводск, Респ. Карелия, Русија, 185005",+7 814 517-74-70
Severnyy Dom,Республика Карелия,business.google.com,"ул. Торнева, 5а, Петрозаводск, Респ. Карелия, Русија, 185011",+7 814 253-11-13
Саморезик,Республика Карелия,business.google.com,"Лесной пр., 51, Петрозаводск, Респ. Карелия, Русија, 185014",+7 814 233-00-85
U Tanka,Республика Карелия,business.google.com,"Первомайский пр., 54, Петрозаводск, Респ. Карелия, Русија, 185031",+7 814 270-16-97
Otdelochnyye Materialy Dlya Bani I Sauny,Республика Карелия,business.google.com,"ул. Заводская, 22, Петрозаводск, Респ. Карелия, Русија, 185031",+7 814 270-16-97
Ksk,Республика Карелия,petrozavodsk.ksk24.ru,"Шуйское ш., 20, Петрозаводск, Респ. Карелия, Русија, 185013",+7 814 270-16-97
Profil'drev,Республика Карелия,profildrev.ru,"Лесной пр., 51, Петрозаводск, Респ. Карелия, Русија, 185014",+7 911 400-37-78
Pik,Республика Карелия,profildrev.ru,"ул. Зайцева, 72, 2 этаж, офис 8, Петрозаводск, Респ. Карелия, Русија, 185000",+7 814 259-46-64
Sila,Республика Карелия,tdsila.ru,"Октябрьское ш., 97, Кондопога, Респ. Карелия, Русија, 186223",+7 902 772-69-12
"Universal, Magazin",Республика Карелия,tdsila.ru,"Октябрьское ш., 9, Кондопога, Респ. Карелия, Русија, 186225",+7 814 517-95-91
"Magazin "" Stroitel'""",Республика Карелия,tdsila.ru,"ул. Комсомольская, 22а, Кондопога, Респ. Карелия, Русија, 186225",+7 953 530-91-94
Prommaks,Республика Карелия,prommax.ru,"ул. Пионерская, 71А, Пудож, Респ. Карелия, Русија, 186150",+7 985 300-96-96
Samorezik,Республика Карелия,vk.com,"ул. Ровио, 12А, Петрозаводск, Респ. Карелия, Русија, 185026",+7 814 233-00-85
Avgit,Республика Карелия,vk.com,"ул. Гагарина, 3, Сегежа, Респ. Карелия, Русија, 186420",+7 814 233-00-85
Vyurt Market,Республика Карелия,wuerthmarket.ru,"ул. Онежской флотилии, 22, Петрозаводск, Респ. Карелия, Русија, 185011",+7 814 259-37-93
"Tovary Dlya Doma, Magazin",Республика Карелия,wuerthmarket.ru,"Пролетарская ул., 7, Кондопога, Респ. Карелия, Русија, 186225",+7 814 517-58-82
"Magazin ""Duet""",Республика Карелия,wuerthmarket.ru,"ул. Металлургов, 7, Надвоицы, Респ. Карелия, Русија, 186430",+7 814 315-90-88
Tsentr Metallokrovli - Proizvodstvo I Prodazha Shtaketnika Dlya Zaborov I Ograzhdeniy,Республика Карелия,petrozavodsk.shtaketniki.ru,"Путейская ул., 5, Петрозаводск, Респ. Карелия, Русија, 185504",+7 800 350-90-03
Nort-Kareliya,Республика Карелия,petrozavodsk.shtaketniki.ru,"улица Зайцева 67 стр.1, Петрозаводск, Респ. Карелия, Русија, 185031",+7 921 455-35-17
Zastroyshchik,Республика Карелия,стройсортавала.рф,"ул. Садовая, 30, Сортавала, Респ. Карелия, Русија, 186790",+7 921 011-90-44
Lesnoy Dvorik,Республика Карелия,lesdvorik.ru,"Новосулажгорская ул., 17а, Петрозаводск, Респ. Карелия, Русија, 185013",+7 911 403-73-40
Stroybyt,Республика Карелия,lesdvorik.ru,"ул. Нойбранденбургская, 19, Петрозаводск, Респ. Карелия, Русија, 185034",+7 911 408-50-50
Kvs Komplekt,Республика Карелия,lesdvorik.ru,"ул. Шотмана, 48 а, Петрозаводск, Респ. Карелия, Русија, 185035",+7 814 274-18-19
Instrument Magazin Ip Kodintsov A.v.,Республика Карелия,lesdvorik.ru,"пр. Александра Невского, 67, Петрозаводск, Респ. Карелия, Русија, 185007",+7 814 256-29-57
"Magazin ""Dom""",Республика Карелия,lesdvorik.ru,"ул. Воронина, 8, Беломорск, Респ. Карелия, Русија, 186500",+7 814 256-29-57
Gabbro-Kareliya,Республика Карелия,lesdvorik.ru,"ул. Повенецкая, 16, Офис 2, Петрозаводск, Респ. Карелия, Русија, 185003",+7 814 263-48-09
"Onlayn-Gipermarket ""Kauppi""",Республика Карелия,kauppi.ru,"Первомайская ул., 7, Костомукша, Респ. Карелия, Русија, 186931",+7 814 595-20-07
Wurth Market (Wurth),Республика Карелия,wuerthmarket.ru,"ш. Горняков, 153, Костомукша, Респ. Карелия, Русија, 186930",+7 814 595-17-05
Plitka,Республика Карелия,wuerthmarket.ru,"ул. Варламова, Петрозаводск, Респ. Карелия, Русија, 185005",+7 814 595-17-05
Petrokomplekt,Республика Карелия,wuerthmarket.ru,"ул. Заводская, д.5, Петрозаводск, Респ. Карелия, Русија, 185031",+7 814 271-19-86
"Ooo ""Onezhskiy Monolit""",Республика Карелия,wuerthmarket.ru,"Казарменская ул., 31, офис № 16, Петрозаводск, Респ. Карелия, Русија, 185030",+7 953 534-30-50
"Trading house ""Building materials""",Ленинградская область,td-sm35.ru,"Стройматериалы на Белявской, ул. Ленинградская, 51, Вологда, Вологодская обл., Русија, 160017",+7 911 047-06-61
