Name,Phone,Address,Website
"Строительный магазин ""МАСТЕР*ОК""",+7 921 249-90-01,"Октябрьская ул., д.2, Плесецк, Архангельская обл., Русија, 164262",grandline.ru
Story House,+7 952 300-00-31,"ТД ""Московский"", Московский пр., 25/2, Архангельск, Архангельская обл., Русија, 163002",grandline.ru
"Ooo ""Fantorg""",+7 818 397-28-70,"пр. Ленина, 222 в, Онега, Архангельская обл., Русија, 164840",vk.com
Kompaniya Svs,+7 818 227-16-50,"ул. Котласская, 1/1, 1 этаж, офис 17, Архангельск, Архангельская обл., Русија, 163046",vk.com
Drevmarket,+7 963 200-45-32,"просп. Ломоносова, 64, Архангельск, Архангельская обл., Русија, 163000",vk.com
"Dachnaya Pokupka, Magazin Stroitel'nykh Materialov",+7 818 243-21-40,"корп. 2, ул. Гагарина, 44, Архангельск, Архангельская обл., Русија, 163051",vk.com
Molotok,+7 818 243-21-40,"Plesetsk, Arkhangelsk Oblast, Русија, 164262",vk.com
Remont3000,+7 902 700-12-55,"ул. Hабережная, 85, Емецк, Архангельская обл., Русија, 164537",ремонт3000.рф
Dacha Stroyka Dom,+7 960 010-14-27,"ул. Дачная, 59, Архангельск, Архангельская обл., Русија, 163062",afanasy29.ru
Magazin Stroymaterialov,+7 921 677-07-07,"Lukinskaya, Arkhangelsk Oblast, Русија, 165150",vk.com
Khozmag,+7 921 677-07-07,"ул. Суворова, 11, Архангельск, Архангельская обл., Русија, 163001",vk.com
"Torgovyy Tsentr Al'fa, Magazin, Ooo Al'fa",+7 921 677-07-07,"Октябрьская ул., 1а, Савинский, Архангельская обл., Русија, 164288",vk.com
Khozyain,+7 921 677-07-07,"Заводская ул., 3а, Октябрьский, Архангельская обл., Русија, 165210",vk.com
Tovary Dlya Remonta,+7 818 525-68-88,"Магазин ""Муравей"", ул. Ворошилова, 16, Новодвинск, Архангельская обл., Русија, 164900",vk.com
Stroy Market,+7 911 581-60-01,"Yarensk, Arkhangelsk Oblast, Русија, 165780",vk.com
Domovoy,+7 953 936-36-21,"ул. Заводская, 43Б, Уемский, Архангельская обл., Русија, 163075",vk.com
Malodvin'ye,+7 818 372-56-97,"ул. Чиркова, 5/1, Котлас, Архангельская обл., Русија, 165300",малодвинье.рф
"Magazin ""Domovoy""",+7 921 482-65-31,"ул. Чиркова, д.29, Котлас, Архангельская обл., Русија, 165300",vk.com
Kosmodom,+7 818 266-47-77,"ул. Касаткиной, 13к1, Архангельск, Архангельская обл., Русија, 163002",mks29.ru
Krepmaster,+7 818 242-14-28,"ТК ""На Окружной"", Окружное ш., 13, 2 корпус, Архангельск, Архангельская обл., Русија, 163045",krepmarket.ru
Stroybat,+7 818 229-45-45,"ул. Шубина, 2, Архангельск, Архангельская обл., Русија, 163001",stroybat29.ru
"Хозторг, Магазин № 4",+7 818 220-38-19,"ул. Розы Люксембург, 78, Архангельск, Архангельская обл., Русија, 163046",stroybat29.ru
"Stroymaterialy, Magazin",+7 818 362-63-83,"ул. Пушкина, 100, Вельск, Архангельская обл., Русија, 165150",stroybat29.ru
Magazin Stroymarket,+7 818 362-63-83,"Plesetsk, Arkhangelsk Oblast, Русија, 164262",stroybat29.ru
"Umelyye Ruki, Magazin Stroitel'nykh I Otdelochnykh Materialov",+7 818 222-68-48,"ул. Советская, 21, Архангельск, Архангельская обл., Русија, 163020",stroybat29.ru
Magazin Megavol't,+7 965 732-56-54,"ул. Ломоносова, 17, Мирный, Архангельская обл., Русија, 164170",mv29.ru
Khozstroy,+7 818 243-00-65,"Магистральная ул., 43, Архангельск, Архангельская обл., Русија, 163039",mv29.ru
Ooo Megavol't,+7 960 006-54-30,"ул. Ленина, 76б, Плесецк, Архангельская обл., Русија, 164262",mv29.ru
Household chemicals,+7 921 076-41-76,"Магистральная ул., 40, Архангельск, Архангельская обл., Русија, 163039",mv29.ru
Krepmarket,+7 818 247-15-80,"просп. Никольский, 56с2, Архангельск, Архангельская обл., Русија, 163020",krepmarket.ru
Prof Krep,+7 911 568-93-30,"ул. Никитова, 10, Архангельск, Архангельская обл., Русија, 163057",krepmarket.ru
"Samodelkin, Magazin Otdelochnykh I Stroitel'nykh Materialov",+7 964 302-85-99,"ул. Ярославская ул., 65, Архангельск, Архангельская обл., Русија, 163013",krepmarket.ru
Venas,+7 818 452-06-60,"пр. Заозерный, 4, Северодвинск, Архангельская обл., Русија, 164505",venus-online.ru
Remont 3000,+7 902 700-99-40,"пр. Ленина, 205Г, Онега, Архангельская обл., Русија, 164840",ремонт3000.рф
Kosmos,+7 818 458-37-44,"ул. Ломоносова, 68, Северодвинск, Архангельская обл., Русија, 164500",venus-online.ru
Megastroy,+7 921 297-51-26,"Набережная, 8 а, Березник, Архангельская обл., Русија, 164571",venus-online.ru
Krepezh,+7 921 297-51-26,"ул. Тимме, 23, Архангельск, Архангельская обл., Русија, 163071",venus-online.ru
"Stroymaterialy ""Komplekt""",+7 921 671-17-10,"Октябрьский просп., 101, Каргополь, Архангельская обл., Русија, 164110",vk.com
Khoztovary,+7 931 401-25-88,"ул. Тимме, 12, Архангельск, Архангельская обл., Русија, 163051",vk.com
Master Krepezha,+7 818 247-03-80,"Ленинградский пр-т., 159, Архангельск, Архангельская обл., Русија, 163015",vk.com
Riforn,+7 343 288-74-48,"Архангельское ш., д. 29, корп. 1, Северодвинск, Архангельская обл., Русија, 164520",vk.com
"Stroymag, Magazin Stroitel'nykh Materialov",+7 343 288-74-48,"Никольская ул., 11, Северодвинск, Архангельская обл., Русија, 164512",vk.com
Hilti Строительный Салон,+7 818 265-00-56,"просп. Ломоносова, 13, Офис 16, Архангельск, Архангельская обл., Русија, 163002",hilti.ru
Rosa,+7 818 265-00-56,"ул. 40-летия Великой Победы, 1, 2 этаж, Архангельск, Архангельская обл., Русија, 163059",hilti.ru
Dammers,+7 818 267-06-07,"ул. Ленина, 29, Архангельск, Архангельская обл., Русија, 163015",dammers-les.narod.ru
Al'ternativa Nord Stroybatmarket,+7 818 456-77-96,"ул. Торцева, 2в, стр.1, Северодвинск, Архангельская обл., Русија, 164520",altnord.ru
"Magazin Stroymaterialov ""Stroyberi""",+7 900 920-41-51,"пр. Ленина, 220, Онега, Архангельская, Русија, 164840",altnord.ru
Magazin Tovary Dlya Doma,+7 900 920-41-51,"Emetsk, Arkhangelsk Oblast, Русија, 164537",altnord.ru
Stroydom29,+7 921 084-80-04,"ул. Заводская, 8, Северодвинск, Архангельская обл., Русија, 164505",altnord.ru
Bum,+7 818 221-37-50,"ул. Гагарина, 46, Архангельск, Архангельская обл., Русија, 163051",altnord.ru
Motobloki,+7 818 220-83-83,"ул. Карла Маркса, 22, Архангельск, Архангельская обл., Русија, 163000",altnord.ru
"Stroymarket ""Rimeyk""",+7 931 417-24-34,"ул. Дзержинского, Мирный, Архангельская обл., Русија, 164173",altnord.ru
Fabrika Okon I Dverey,+7 921 297-97-99,"Заводская ул., 2, Октябрьский, Архангельская обл., Русија, 165210",vk.com
Domostroy,+7 911 563-43-75,"Железнодорожная 54а оф.5 2 этаж, Северодвинск, Архангельская обл., Русија, 164520",домострой29.рф
Fastening tools,+7 818 268-22-73,"ул. Урицкого, 28, 1 этаж, Архангельск, Архангельская обл., Русија, 163002",крепеж29.рф
Yevroprofil',+7 931 405-70-80,"Архангельское ш., 16д, Северодвинск, Архангельская обл., Русија, 164520",europrofil29.ru
"Torgovyy Tsentr ""Metr""",+7 950 661-13-77,"ул. Котрехова, 14 А, Плесецк, Архангельская обл., Русија, 164262",europrofil29.ru
"Fire, water and different pipe ...",+7 818 247-93-00,"ул. Поморская, 44, Архангельск, Архангельская обл., Русија, 163000",stroidom-online.ru
Losk,+7 818 247-93-00,"пр. Победы, 10, 1 этаж, Северодвинск, Архангельская обл., Русија, 164500",stroidom-online.ru
Umelyy Dachnik,+7 952 307-44-44,"ул. Горького, 72 Б, Няндома, Архангельская обл., Русија, 164200",умелый-дачник.рф
Mega Ctroy,+7 921 483-70-95,"Октябрьская ул., Плесецк, Архангельская обл., Русија, 164262",vk.com
Lyubimyy,+7 911 674-53-12,"ул. Мещерского, 5, Архангельск, Архангельская обл., Русија, 163000",vk.com
Element,+7 921 804-57-85,"ул. Максима Горького, 1, Кондопога, Респ. Карелия, Русија, 186225",kondopoga.elementsm.ru
WoodStore Karelia,+7 911 400-95-58,"Шуйское ш., д. 12, Петрозаводск, Респ. Карелия, Русија, 185013",kondopoga.elementsm.ru
Tsentr Uyuta Magazin,+7 814 259-30-41,"Мурманская ул., 19, Петрозаводск, Респ. Карелия, Русија, 185005",kondopoga.elementsm.ru
Magazin Stroitel'nykh Materialov,+7 814 259-30-41,"ул. Ригачина, Петрозаводск, Респ. Карелия, Русија, 185005",kondopoga.elementsm.ru
"Stroymarket ""Papa Doma""",+7 814 304-88-16,"ул. Бондарева, 50 А, Сортавала, Респ. Карелия, Русија, 186790",papadoma.net
Magazin Stroymaterialy Ooo Stroykom,+7 814 317-00-05,"ул. 8 Марта, дом 9, Сегежа, Респ. Карелия, Русија, 186424",vk.com
Magazin Profil'drev,+7 814 222-10-32,"Вытегорское ш., 110, Петрозаводск, Респ. Карелия, Русија, 185034",profildrev.ru
Kgrk,+7 814 222-10-32,"ул. Ватутина, 30, Петрозаводск, Респ. Карелия, Русија, 185000",profildrev.ru
"Rus' Biznes, Khozyaystvennyy Magazin",+7 814 270-23-43,"Октябрьский пр., 1, Петрозаводск, Респ. Карелия, Русија, 185000",profildrev.ru
"Ladoga-Stroy, Magazin Stroitel'nykh Tovarov",+7 814 302-38-63,"ул. Карельская, 42, Сортавала, Респ. Карелия, Русија, 186790",profildrev.ru
Robinzon-1,+7 800 550-51-25,"ул. Советская, 18, Лахденпохья, Респ. Карелия, Русија, 186734",pozern.ru
Stroydom Mamont,+7 814 515-72-11,"Медвежьегорское шоссе, 1, Кондопога, Респ. Карелия, Русија, 186200",pozern.ru
Stroitel'nyy Dvor,+7 911 403-86-99,"ул. Заводская, 10а, Петрозаводск, Респ. Карелия, Русија, 185031",ptz-stroy.ru
Magazin Universalstroy,+7 814 563-30-04,"Эссойла, 186137улица Центральная, дом 8а, поселок, Респ. Карелия, Русија, 186137",ptz-stroy.ru
U Yerofeyeva,+7 814 563-30-04,"ул. Строителей, 1А, Костомукша, Респ. Карелия, Русија, 186932",ptz-stroy.ru
"Stroitel'nyy Dom, Magazin",+7 921 458-61-14,"ул. Бондарева, 4, Сортавала, Респ. Карелия, Русија, 186790",ptz-stroy.ru
Stroybaza Katkov,+7 814 345-75-75,"ул. Онежская, 2, Медвежьегорск, Респ. Карелия, Русија, 186352",ptz-stroy.ru
"Shop ""STROYDOM""",+7 814 525-10-25,"3, Пудож, Карелия респ., 186150, улица Комсомольская, Пудож, Респ. Карелия, Русија, 186150",ptz-stroy.ru
Profil',+7 814 273-32-80,"Ригачина ул. 64, Петрозаводск, Карелия респ., 185005, Петрозаводск, Респ. Карелия, Русија, 185005",ptz-stroy.ru
"Ooo""Stroyarsenal"", Magazin Stroitel'nykh Materialov",+7 814 259-20-14,"Хвойный пер., 5, Петрозаводск, Респ. Карелия, Русија, 185002",ptz-stroy.ru
- Stroynapolevoy,+7 814 364-18-17,"ул. Полевая, 34, Олонец, Респ. Карелия, Русија, 186000",ptz-stroy.ru
Formula Construction,+7 814 222-02-30,"ул. Ригачина, 33, Петрозаводск, Респ. Карелия, Русија, 185005",str-formula.ru
Stroyelitservis,+7 911 400-21-19,"К.Либкнехта ул. 16, Медвежьегорск, Карелия респ., 186350, Медвежьегорск, Респ. Карелия, Русија, 186350",str-formula.ru
Stroitel'nyy Magazin Profil',+7 911 400-21-19,"ул. Привокзальная, 19А, Питкяранта, Респ. Карелия, Русија, 186810",str-formula.ru
"Usad'ba, Khozyaystvennyy Magazin",+7 814 270-31-21,"ул. Заводская, 26, Петрозаводск, Респ. Карелия, Русија, 185035",str-formula.ru
Maksidom,+7 814 270-31-21,"ул. Шотмана, 30, Петрозаводск, Респ. Карелия, Русија, 185001",str-formula.ru
"Магазин ""Delta""",+7 921 451-45-45,"ул. Калинина, 9А, Питкяранта, Респ. Карелия, Русија, 186810",str-formula.ru
"Construction hypermarket ""CSK""",+7 814 279-80-15,"ул. Заводская, 4, Петрозаводск, Респ. Карелия, Русија, 185031",c-s-k.ru
Stroymaterialy Magazin-Sklad,+7 814 345-70-22,"Санаторная ул. 1, Медвежьегорск, Карелия респ., 186352, Медвежьегорск, Респ. Карелия, Русија, 186350",c-s-k.ru
Building Market principle,+7 921 468-77-72,"Kostomuksha, Republic of Karelia, Русија, 186932",c-s-k.ru
"Magazin ""Stroymaster""",+7 814 375-28-35,"улица Порт шоссе 25, Беломорск, Респ. Карелия, Русија, 186500",belomorskayapmk.ru
"Ooo ""Ksk "", Stroitel'nyye Materialy . Krovlya I Izolyatsiya .",+7 814 259-44-02,"ул. Заводская, 10, Петрозаводск, Респ. Карелия, Русија, 185031",kskstroi.ru
"Stroy-ka, Shop",+7 814 364-25-76,"ул. Володарского, 12, Олонец, Респ. Карелия, Русија, 186000",vk.com
"ДОМ-ДЕКОР, магазин строительных товаров",+7 814 364-25-76,"ул. Гагарина, 3, пом. Н-1, Сегежа, Респ. Карелия, Русија, 186420",segeja.mestarf.su
Uncle Fedor,+7 814 273-16-54,"Свирская ул., 10, Петрозаводск, Респ. Карелия, Русија, 185005",segeja.mestarf.su
Armir,+7 800 350-30-76,"ул. Дзержинского, 11, Медвежьегорск, Респ. Карелия, Русија, 186350",армир.рф
Stroykrovlya,+7 900 461-51-71,"Комсомольская 39, Олонец, Респ. Карелия, Русија, 186000",eurocement.ru
Tssk,+7 814 279-80-10,"ул. Правды, 4, Петрозаводск, Респ. Карелия, Русија, 185005",c-s-k.ru
Stroygrad,+7 814 277-54-77,"Сулажгорская ул., 61, Петрозаводск, Респ. Карелия, Русија, 185013",c-s-k.ru
Profstroy,+7 921 700-35-12,"Хвойный пер., 5, Петрозаводск, Респ. Карелия, Русија, 185000",c-s-k.ru
Tekhnokompleks,+7 814 227-23-26,"ул. Гоголя, 21, Петрозаводск, Респ. Карелия, Русија, 185035",c-s-k.ru
"Magazin ""Na Bazarnoy"" Ooo ""Domostroy""",+7 814 304-66-63,"Базарная ул., д.1, Сортавала, Респ. Карелия, Русија, 186790",vk.com
"Voskhod, Baza Stroitel'nykh Materialov",+7 814 257-67-79,"ул. Машезерская, 7, кв. 36, Петрозаводск, Респ. Карелия, Русија, 185003",vk.com
Stroybaza Salmi,+7 921 308-18-82,"ул. Лесная, 13Б, Салми, Респ. Карелия, Русија, 186821",vk.com
Krepozh,+7 921 308-18-82,"ул. Карельская, 7, Сортавала, Респ. Карелия, Русија, 186790",vk.com
Magazin Dom-Stroy,+7 921 308-18-82,"Unnamed Road, Беломорск, Респ. Карелия, Русија, 186500",vk.com
Krovel'nyy Tsentr,+7 921 456-66-00,"386км Р21 ""Кола, Пряжа, Респ. Карелия, Русија, 186120",кровля-карелия.рф
Building yard,+7 814 228-06-99,"Шуйское ш., 12, Петрозаводск, Респ. Карелия, Русија, 185000",ptz-stroy.ru
"Domovoy, Khozyaystvennyy Magazin",+7 814 275-34-47,"Лососинское ш., 21, Петрозаводск, Респ. Карелия, Русија, 185014",tddomovoy.ru
"Stroymateriyaly ""Master""",+7 814 275-34-47,"Октябрьское ш., 33а, Кондопога, Респ. Карелия, Русија, 186225",tddomovoy.ru
"Som, Magazin Otdelochnykh Materialov",+7 921 012-75-93,"Лососинское ш., 26, Петрозаводск, Респ. Карелия, Русија, 185014",com-karelia.ru
Строительный магазин Элемент,+7 921 804-57-81,"Онежской Флотилии ул. 22, Петрозаводск, Карелия респ., 185000, ул. Онежской флотилии, 22, Петрозаводск, Респ. Карелия, Русија, 185034",elementsm.ru
Istok,+7 814 277-13-98,"ул. Зайцева, 38, Петрозаводск, Респ. Карелия, Русија, 185031",elementsm.ru
"Ooo ""Progress""",+7 814 233-06-50,"ул. Пограничная, 22, Петрозаводск, Респ. Карелия, Русија, 185000",elementsm.ru
M-N Kontur,+7 995 554-74-18,"ул. Октябрьская, 12, Костомукша, Респ. Карелия, Русија, 186931",elementsm.ru
Stroyfurnitura,+7 814 263-63-63,"ул. Московская, 20, Петрозаводск, Респ. Карелия, Русија, 185031",vk.com
Kondopozhskiy Shungitovyy Zavod,+7 814 514-30-07,"Медвежьегорское ш., 5, Кондопога, Респ. Карелия, Русија, 186200",vk.com
Supplies Shop LLC Remstroykonstruktsiya,+7 921 221-92-83,"Louhi, Карелија, Русија, 186660",vk.com
"""Yevrostroy """,+7 900 463-36-46,"пр. Калинина, 9А, Кондопога, Респ. Карелия, Русија, 186220",m.vk.com
Instrument Krepezh,+7 900 463-36-46,"ул. Заводская, Петрозаводск, Респ. Карелия, Русија, 185031",m.vk.com
«Сантехника»,+7 900 463-36-46,"ул. Заводская, 17, Кондопога, Респ. Карелия, Русија, 186225",m.vk.com
"Magazin ""Krepezh""",+7 911 401-12-61,"Shuya, Republic of Karelia, Русија, 185504",m.vk.com
shop Home,+7 921 455-55-52,"пл. Кирова, 4, Сортавала, Респ. Карелия, Русија, 186790",m.vk.com
Stroy-Market Pelageya,+7 814 252-63-30,"ул. Гвардейская, 20, Петрозаводск, Респ. Карелия, Русија, 185034",m.vk.com
"Miko, Magazin",+7 814 517-74-70,"ул. Комсомольская, 3, Кондопога, Респ. Карелия, Русија, 186222",business.google.com
"Ooo ""Inter'yer""",+7 814 517-74-70,"ул. Коммунистов, 50/8, Петрозаводск, Респ. Карелия, Русија, 185005",business.google.com
Severnyy Dom,+7 814 253-11-13,"ул. Торнева, 5а, Петрозаводск, Респ. Карелия, Русија, 185011",business.google.com
Саморезик,+7 814 233-00-85,"Лесной пр., 51, Петрозаводск, Респ. Карелия, Русија, 185014",business.google.com
U Tanka,+7 814 270-16-97,"Первомайский пр., 54, Петрозаводск, Респ. Карелия, Русија, 185031",business.google.com
Otdelochnyye Materialy Dlya Bani I Sauny,+7 814 270-16-97,"ул. Заводская, 22, Петрозаводск, Респ. Карелия, Русија, 185031",business.google.com
Ksk,+7 814 270-16-97,"Шуйское ш., 20, Петрозаводск, Респ. Карелия, Русија, 185013",petrozavodsk.ksk24.ru
Profil'drev,+7 911 400-37-78,"Лесной пр., 51, Петрозаводск, Респ. Карелия, Русија, 185014",profildrev.ru
Pik,+7 814 259-46-64,"ул. Зайцева, 72, 2 этаж, офис 8, Петрозаводск, Респ. Карелия, Русија, 185000",profildrev.ru
Sila,+7 902 772-69-12,"Октябрьское ш., 97, Кондопога, Респ. Карелия, Русија, 186223",tdsila.ru
"Universal, Magazin",+7 814 517-95-91,"Октябрьское ш., 9, Кондопога, Респ. Карелия, Русија, 186225",tdsila.ru
"Magazin "" Stroitel'""",+7 953 530-91-94,"ул. Комсомольская, 22а, Кондопога, Респ. Карелия, Русија, 186225",tdsila.ru
Prommaks,+7 985 300-96-96,"ул. Пионерская, 71А, Пудож, Респ. Карелия, Русија, 186150",prommax.ru
Samorezik,+7 814 233-00-85,"ул. Ровио, 12А, Петрозаводск, Респ. Карелия, Русија, 185026",vk.com
Avgit,+7 814 233-00-85,"ул. Гагарина, 3, Сегежа, Респ. Карелия, Русија, 186420",vk.com
Vyurt Market,+7 814 259-37-93,"ул. Онежской флотилии, 22, Петрозаводск, Респ. Карелия, Русија, 185011",wuerthmarket.ru
"Tovary Dlya Doma, Magazin",+7 814 517-58-82,"Пролетарская ул., 7, Кондопога, Респ. Карелия, Русија, 186225",wuerthmarket.ru
"Magazin ""Duet""",+7 814 315-90-88,"ул. Металлургов, 7, Надвоицы, Респ. Карелия, Русија, 186430",wuerthmarket.ru
Tsentr Metallokrovli - Proizvodstvo I Prodazha Shtaketnika Dlya Zaborov I Ograzhdeniy,+7 800 350-90-03,"Путейская ул., 5, Петрозаводск, Респ. Карелия, Русија, 185504",petrozavodsk.shtaketniki.ru
Nort-Kareliya,+7 921 455-35-17,"улица Зайцева 67 стр.1, Петрозаводск, Респ. Карелия, Русија, 185031",petrozavodsk.shtaketniki.ru
Zastroyshchik,+7 921 011-90-44,"ул. Садовая, 30, Сортавала, Респ. Карелия, Русија, 186790",стройсортавала.рф
Lesnoy Dvorik,+7 911 403-73-40,"Новосулажгорская ул., 17а, Петрозаводск, Респ. Карелия, Русија, 185013",lesdvorik.ru
Stroybyt,+7 911 408-50-50,"ул. Нойбранденбургская, 19, Петрозаводск, Респ. Карелия, Русија, 185034",lesdvorik.ru
Kvs Komplekt,+7 814 274-18-19,"ул. Шотмана, 48 а, Петрозаводск, Респ. Карелия, Русија, 185035",lesdvorik.ru
Instrument Magazin Ip Kodintsov A.v.,+7 814 256-29-57,"пр. Александра Невского, 67, Петрозаводск, Респ. Карелия, Русија, 185007",lesdvorik.ru
"Magazin ""Dom""",+7 814 256-29-57,"ул. Воронина, 8, Беломорск, Респ. Карелия, Русија, 186500",lesdvorik.ru
Gabbro-Kareliya,+7 814 263-48-09,"ул. Повенецкая, 16, Офис 2, Петрозаводск, Респ. Карелия, Русија, 185003",lesdvorik.ru
"Onlayn-Gipermarket ""Kauppi""",+7 814 595-20-07,"Первомайская ул., 7, Костомукша, Респ. Карелия, Русија, 186931",kauppi.ru
Wurth Market (Wurth),+7 814 595-17-05,"ш. Горняков, 153, Костомукша, Респ. Карелия, Русија, 186930",wuerthmarket.ru
Plitka,+7 814 595-17-05,"ул. Варламова, Петрозаводск, Респ. Карелия, Русија, 185005",wuerthmarket.ru
Petrokomplekt,+7 814 271-19-86,"ул. Заводская, д.5, Петрозаводск, Респ. Карелия, Русија, 185031",wuerthmarket.ru
"Ooo ""Onezhskiy Monolit""",+7 953 534-30-50,"Казарменская ул., 31, офис № 16, Петрозаводск, Респ. Карелия, Русија, 185030",wuerthmarket.ru
"Trading house ""Building materials""",+7 911 047-06-61,"Стройматериалы на Белявской, ул. Ленинградская, 51, Вологда, Вологодская обл., Русија, 160017",td-sm35.ru
"Optovo-Roznichnyy Tsentr""Stroitel'nyy Dvor """,+7 900 505-80-80,"пл. Свободы, 7, Сокол, Вологодская обл., Русија, 162130",vk.com
Stroitel'naya Barakholka,+7 900 505-80-80,"ул. Ленинградская, 95, Вологда, Вологодская обл., Русија, 160034",vk.com
Zavkhoz,+7 817 221-78-36,"ул. Клубова, 25/25, Вологда, Вологодская обл., Русија, 160000",vk.com
Оптима+,+7 817 227-99-27,"yлица Карла Маркса, 89, Вологда, Вологодская обл., Русија, 160029",vk.com
Tiberg,+7 817 227-99-27,"ул. Ленинградская, 71, ДЦ «Парус», Вологда, Русија, 160017",tiberg.ru
МЕТРИКА № 62,+7 800 775-77-33,"Окружное ш., 12, Вологда, Вологодская обл., Русија, 160028",tiberg.ru
Stroymaster,+7 911 511-30-57,"Ленина, 5А, Молочное, Вологодская обл., Русија, 160555",tiberg.ru
Stroitel'nyy Dvorik,+7 900 502-02-23,"Связистов ул, 10А, Сямжа, Вологодская обл., Русија, 162220",tiberg.ru
Park,+7 817 251-64-08,"ТЦ ""Макси"", ул. Некрасова, 23, Вологда, Вологодская обл., Русија, 160019",tiberg.ru
Shurup,+7 999 791-26-21,"ул. Возрождения, д. 49, Вологда, Вологодская обл., Русија, 160000",tiberg.ru
Master,+7 999 791-26-21,"ул. Орешкова, 9, Сокол, Вологодская обл., Русија, 162138",tiberg.ru
Vso Dlya Stroitel'stva I Remonta,+7 817 252-90-84,"ул. Ленинградская, 61, Вологда, Вологодская обл., Русија, 160017",tiberg.ru
"Aplayn, Optovo-Roznichnyy Tsentr",+7 817 254-15-98,"Пошехонское ш., 18, Вологда, Вологодская обл., Русија, 160022",apline35.ru
Stroymarket Lider,+7 817 252-05-20,"ул. Преображенского, 28с6, Вологда, Вологодская обл., Русија, 160000",lider35.ru
"Magazin ""Raduzhnyy""",+7 900 542-54-06,"ул. Коммунистическая, 72, Белозерск, Вологодская обл., Русија, 161200",vk.com
Akson,+7 820 220-18-88,"ул. Рыбинская, 59, Череповец, Вологодская обл., Русија, 162609",akson.ru
Evrika,+7 921 234-70-73,"ул. Герцена, 118, Вологда, Вологодская обл., Русија, 160000",akson.ru
Ideas for home,+7 817 573-20-10,"ул. Преображенского, 35, Кириллов, Вологодская обл., Русија, 161100",idd35.ru
"Baza ""Gvozd'""",+7 820 224-83-77,"ул. Химиков, 7, Череповец, Вологодская обл., Русија, 162600",idd35.ru
Vologodskiy Tsentr Inertnykh Materialov,+7 817 221-51-29,"ул. Мира, 82, Вологда, Вологодская обл., Русија, 160009",idd35.ru
"Ooo ""Stroygarant""",+7 820 249-00-92,"2А, Яконское, Вологодская обл., Русија, 162677",stroygarant-35.ru
"Ooo ""Lesotek""",+7 921 127-56-89,"ул. Преображенского, д. 22А, Вологда, Вологодская обл., Русија, 160025",stroygarant-35.ru
Old Khottabych,+7 820 226-09-79,"ул. Архангельская, 15А, Череповец, Вологодская обл., Русија, 162603",stroygarant-35.ru
Tsentrsnab,+7 817 272-40-22,"Зосимовская ул., 7, Вологда, Вологодская обл., Русија, 160000",stroygarant-35.ru
Magazin Tekhtsentr,+7 921 061-87-43,"Парковая, 6д, Сямжа, Вологодская обл., Русија, 162220",stroygarant-35.ru
Sotsial'nyy,+7 817 274-38-01,"ул. Текстильщиков, 16, Вологда, Вологодская обл., Русија, 160033",stroygarant-35.ru
Festen,+7 921 122-12-22,"ул. Преображенского, 22Б, Вологда, Вологодская обл., Русија, 160026",сайдингввологде.рф
"Stroitel'nyy Tsentr Ooo ""Stroygarant""",+7 820 252-00-13,"ул. пр-т. Победы, 13, Череповец, Вологодская обл., Русија, 160000",stroygarant-35.ru
Idei Dlya Doma,+7 820 252-00-13,"Sokol, Vologda Oblast, Русија, 162130",stroygarant-35.ru
Plintus-M,+7 911 501-26-06,"Окружное ш., 18, Вологда, Вологодская обл., Русија, 160019",plintus-m.ru
Skorpion,+7 911 501-26-06,"Благовещенская ул., 68, Вологда, Вологодская обл., Русија, 160004",plintus-m.ru
"Dom I Vso, Chto V Nom",+7 817 272-25-57,"ул. Мира, 40, Вологда, Вологодская обл., Русија, 160009",plintus-m.ru
Khozmarket,+7 900 552-99-57,"Ленина, 12, Молочное, Вологодская обл., Русија, 160555",vk.com
ИДЕЯ+,+7 817 273-95-11,"ул. Маршала Конева, 24, Вологда, Вологодская обл., Русија, 160032",vk.com
Stroyopttorg Vystavochnyy Zal,+7 817 252-02-02,"ул. Преображенского, 18, Вологда, Вологодская обл., Русија, 160026",tdsot.ru
Hammer and sickle,+7 820 255-65-43,"ул. Заречная, 3, Череповец, Вологодская обл., Русија, 162600",tdsot.ru
Vologodskaya Kommercheskaya Kompaniya,+7 817 252-00-51,"ул. Преображенского, 28 строение 1, Вологда, Вологодская обл., Русија, 160026",lider35.ru
"Stroymaterialy Plyus, Ooo",+7 921 129-72-91,"Окружное ш., 1, Вологда, Вологодская обл., Русија, 160028",nerud35.ru
Леруа Мерлен,+7 800 700-00-99,"просп. Октябрьский, 23, Череповец, Вологодская обл., Русија, 162609",cherepovets.leroymerlin.ru
Khozyayushka,+7 800 700-00-99,"ул. Мира, 42, Вологда, Вологодская обл., Русија, 160001",cherepovets.leroymerlin.ru
Skht,+7 800 100-00-71,"Syamzha, Vologda Oblast, Русија, 162220",cherepovets.leroymerlin.ru
Lotos,+7 820 229-52-93,"ул. Моченкова, 12, Череповец, Вологодская обл., Русија, 162600",cherepovets.leroymerlin.ru
Keramik Grup,+7 908 992-00-13,"Фетисов Арены, СТ Ландыш 67 район Спутник и, Владивосток, Вологодская обл., Русија, 162265",керамикгруп.рф
Zvezdnyy,+7 820 255-07-58,"просп. Советский, 81, Череповец, Вологодская обл., Русија, 162622",strojmag35.ru
"Td ""Snabzhenets""",+7 817 227-37-01,"ул. Саммера, 62, Вологда, Вологодская обл., Русија, 160014",volsnab.ru
